Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6805360282033682,-0.6896232441663742,1728
2,-0.7226888654073079,-0.7047907493561506,1607
3,-0.7308504347165425,-0.7196976761519909,1617
4,-0.7351436329523723,-0.7153686716556549,1529
5,-0.7374873782157898,-0.7123867065906525,1578
6,-0.738894632212321,-0.7164065414667129,1548
7,-0.7409953490416209,-0.716291079878807,1579
8,-0.7470254258235296,-0.7245479977875948,1549
9,-0.7482439175605774,-0.7259039930403233,1551
10,-0.7484560728391012,-0.7277439068257808,1563
11,-0.7493195901314418,-0.725135915338993,1586
12,-0.7503014114379882,-0.7302765046060086,1568
13,-0.7507158230622609,-0.7315884351283312,1274
14,-0.7510899659872055,-0.7306498354673385,992
15,-0.7515963328361511,-0.7282456850409508,803
16,-0.7517987035592397,-0.724756539940834,789
17,-0.7520207709312439,-0.7293407863676548,850
18,-0.754650219074885,-0.7306051539182663,892
19,-0.7549892624298732,-0.7288442981243134,767
20,-0.7554162925640742,-0.7347926901876927,527
