Epoch,Train Loss,Test Loss,Train Time (s)
1,0.048112792720794675,0.04324570663645864,2029
2,0.03577893884211779,0.04053792932536453,1838
3,0.033707627820670605,0.04648512753657997,1811
4,0.032781988999843595,0.04206444629561156,1865
5,0.032604844396710395,0.04383976952079684,1653
6,0.032485200599730014,0.03926502589229494,1585
7,0.03273088809520006,0.04127982557285577,1248
8,0.0328700408667326,0.040318000786006454,1187
9,0.03346880455762148,0.040383429921232165,970
10,0.034047344272434714,0.045725606555119154,637
11,0.03175743495076895,0.04168632104061544,631
