Epoch,Train Loss,Test Loss,Train Time (s)
1,0.07308046416640282,0.05613963051699102,2543
2,0.06985245211372773,0.05677042754366994,2465
3,0.06890558123985926,0.05933290178142488,2343
4,0.06853381844311952,0.055059185614809394,2172
5,0.0682685751721263,0.055769853251054886,1727
6,0.06818883934567373,0.05563369821198284,1423
7,0.06810781818032265,0.05615038199909032,1207
8,0.06796521406422058,0.05805990421772003,1143
9,0.06750274659991265,0.056808515064418315,1088
10,0.06745315381238857,0.05775897763669491,790
11,0.06739299963762363,0.05821928015910089,552
12,0.06733014364292224,0.056918666910380125,552
