Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6704889479700475,-0.5763372649587691,2331
2,-0.8272401463031769,-0.7381482832655311,1815
3,-0.8617998741865158,-0.7337073394209146,1805
4,-0.878288302564621,-0.740089348077774,1589
5,-0.888356324315071,-0.7521737390160561,1602
6,-0.895786856162548,-0.7356062056124211,1663
7,-0.9011529891848564,-0.7459661324620247,1549
8,-0.9054472703456878,-0.7573329620659351,1538
9,-0.9090393548011779,-0.752400433152914,1490
10,-0.9121008065223694,-0.7334431323558092,1388
11,-0.9147958499789238,-0.7511458122134209,1441
12,-0.9170752847790719,-0.7494796402156353,1546
13,-0.9260094676613808,-0.7411362598240375,1399
