Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.5941080761604011,-0.5905879328548909,1832
2,-0.6676190587361653,-0.6285384853333235,1532
3,-0.6839223993937175,-0.6337759302854538,1607
4,-0.6913573258241018,-0.6493713493943214,1557
5,-0.6960673863490423,-0.6449864747822285,1663
6,-0.6998657236973445,-0.6425047755390406,1611
7,-0.7026114507993062,-0.6582630184292794,1582
8,-0.7059713133096694,-0.6582416270524264,1631
9,-0.7075282505353292,-0.6596194272935391,1540
10,-0.709012277285258,-0.6574780255109072,1598
11,-0.7109087748448054,-0.6663343579769134,1586
12,-0.7123674324512481,-0.6735375938415528,1518
13,-0.7133450748602549,-0.6637180335372687,1586
14,-0.7144406523545583,-0.6699529348164797,1181
15,-0.7158986258745194,-0.6743486073315144,937
16,-0.7168117859522501,-0.6650997833907604,1030
17,-0.7177740677674611,-0.6707291222959757,1180
18,-0.7186200575192769,-0.6730186166763306,977
19,-0.7196847096522649,-0.677113142080605,935
20,-0.7203469218174616,-0.6796989569216967,1018
