Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.7383700529009104,-0.7363350501060486,1897
2,-0.7527875866889954,-0.7424655771851539,1627
3,-0.7551255800088247,-0.7443662341237068,1760
4,-0.7567543705542882,-0.7461789910793304,1627
5,-0.7572719124952952,-0.7432799537777901,1646
6,-0.7583722194035848,-0.745893641114235,1641
7,-0.7596444845835368,-0.7354062204509973,1648
8,-0.7596818958520889,-0.7382497683763504,1716
9,-0.7617758803208668,-0.7482316987663508,1627
10,-0.7622782969951629,-0.7388017338365317,1471
11,-0.7624616577943166,-0.7443618245124817,1430
12,-0.7630566239198049,-0.7453069665580988,1401
13,-0.762962221924464,-0.7391444171816111,1327
14,-0.7637692426284154,-0.7416255838572979,1240
15,-0.764110747774442,-0.7485686588585376,1020
16,-0.7644178433974584,-0.7514854952394963,1078
17,-0.764100968003273,-0.742677202552557,1247
18,-0.7646232985178629,-0.7511880187839269,1012
19,-0.7648441033681234,-0.7456310608685016,665
20,-0.7643716400941213,-0.7430781950503588,759
