Epoch,Train Loss,Test Loss,Train Time (s)
1,0.047286054331064226,0.04307186966668814,2381
2,0.034655125520129997,0.041817511186003686,2231
3,0.03270918765788277,0.04196963065396994,2135
4,0.031866787496209144,0.038978559591807425,2003
5,0.031298836442579824,0.0426832158928737,1813
6,0.03100920728047689,0.04042593528144062,1767
7,0.03073106297304233,0.03905040489230305,1381
8,0.030709197645261883,0.040116314264945684,1098
9,0.028632735397169987,0.03821393655706197,1106
10,0.028083632317061225,0.03927247614786029,977
11,0.0278204447299242,0.03934943214710802,526
12,0.027611951292678714,0.0363909480497241,511
13,0.027458204137533904,0.03717679481767118,486
14,0.027251627704128624,0.037445609004236755,474
15,0.027164757500837248,0.03587783174030483,518
16,0.02707358933513363,0.037986603039316835,488
17,0.026942993134632706,0.03775952625274658,660
18,0.026820914651453497,0.03728576627466828,473
19,0.026748782568300763,0.03690229131374508,518
20,0.02582812086828053,0.035855850463733074,493
