Epoch,Train Loss,Test Loss,Train Time (s)
1,0.0951425534516573,0.06655692851915955,2173
2,0.07664477338902652,0.06205865861661732,1935
3,0.07452906988039613,0.06524254751950502,1992
4,0.0735760775078088,0.06463448597490787,1922
5,0.07283243593797088,0.06775850020721555,1907
6,0.07244241161197423,0.06363706702180207,1599
7,0.07101293517537415,0.06613707208447159,1633
8,0.07061717709898949,0.061551147997379305,1452
9,0.0702578458148986,0.06596460093930363,1276
10,0.07000189729072154,0.06369327228702605,1308
11,0.06992658875621856,0.06430588583275676,1035
12,0.06969579516015947,0.06490992509201168,981
13,0.06901297693811358,0.06595245415344834,1028
14,0.06872136126607656,0.0667580166682601,1050
15,0.06856433782614768,0.06617879510112107,1001
16,0.06832537868954242,0.06622037475928665,952
