Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6803129547814528,-0.6580599398687482,1198
2,-0.7159527426799138,-0.6967423716187477,1057
3,-0.7276303106625874,-0.7133040405511856,1020
4,-0.7335016223589579,-0.7047369241714477,1004
5,-0.7370920732816061,-0.7152257389128208,1203
6,-0.7392337718804677,-0.7182559778094292,997
7,-0.741812187329928,-0.7228637583255768,989
8,-0.7432519482930501,-0.7211569485962391,1077
9,-0.7442519888718923,-0.7261762740015983,1059
10,-0.7457044027407964,-0.7223195273280144,989
11,-0.7475135518312455,-0.7206164565831423,999
12,-0.7476420449654261,-0.7168406419157982,1083
13,-0.7490816375652949,-0.7229559623897076,1055
14,-0.7531096574862798,-0.7237618582546711,986
15,-0.7538851255098978,-0.7246158928871155,1034
16,-0.7541720033009847,-0.7276744632571935,1077
17,-0.7555643918832143,-0.722440522365272,1005
18,-0.7554197089195251,-0.7226502705663442,1008
19,-0.7558002908070882,-0.7247358260005713,898
20,-0.7556488880793254,-0.7265183207988739,960
