Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6276167022627468,-0.5086581751322373,1937
2,-0.6797111099580924,-0.5350893764942884,1591
3,-0.6962060219585896,-0.5489789330139756,1640
4,-0.7041924829125404,-0.5666047239154577,1650
5,-0.7095347409387429,-0.5525027592815459,1501
6,-0.7134239464024703,-0.5723933901116252,1540
7,-0.7156966667532921,-0.5619186290279031,1517
8,-0.7180496308465799,-0.5766887405067682,1580
9,-0.7200598873575529,-0.5930200979262591,1573
10,-0.7209275766293208,-0.580440865650773,1505
11,-0.7224759735941887,-0.593307961910963,1564
12,-0.723756820011139,-0.6090855184942484,1490
13,-0.7241488948861758,-0.5815250848904252,1472
14,-0.7250087147514025,-0.5853743944838643,1528
15,-0.7256757299582164,-0.5967182461544871,1470
16,-0.7264613297323386,-0.602301212079823,1500
17,-0.7310903705596924,-0.6101805775165557,1514
18,-0.7320051587462425,-0.6020437940657138,1458
19,-0.732974740533034,-0.6144770001694561,1411
20,-0.733084229584535,-0.6149626132622361,1159
