Epoch,Train Loss,Test Loss,Train Time (s)
1,0.08693355077803135,0.08961801847070455,351
2,0.07866340825259685,0.08822512390837073,300
3,0.0759068310290575,0.08584474598802626,287
4,0.07436398153305054,0.09082258350588382,277
5,0.0732163116455078,0.09100211984664201,295
6,0.0726590281188488,0.09060223804786802,283
7,0.07179405533671379,0.09392086943238974,297
8,0.07023238562941551,0.08886017387546599,282
9,0.06971865929961205,0.08927861537598074,302
10,0.06937299413979053,0.08946128063462674,300
11,0.06918661332726479,0.0902257505711168,292
