Epoch,Train Loss,Test Loss,Train Time (s)
1,0.0863386480992039,0.06812711676210165,1659
2,0.07525489852825801,0.06435575304739177,1699
3,0.0734446011647582,0.06157150955498219,1242
4,0.07251051017592351,0.06325117038376629,1190
5,0.0719571830863754,0.06593978454358876,1021
6,0.07154026368508737,0.07025382403470576,780
7,0.07108190984278917,0.0663872772604227,765
8,0.07002461286534865,0.06322583300620317,783
9,0.06960732649018367,0.06391293372958899,572
10,0.06951954602152109,0.06585800983011722,611
11,0.06932095260769129,0.062240570632740855,561
