Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6086736405084531,-0.5867189696095884,1157
2,-0.6618883202830951,-0.5872029458321631,951
3,-0.6807921302000681,-0.606328968629241,939
4,-0.6900552121957143,-0.6199900405853986,923
5,-0.6960763615449269,-0.6345722161531449,1027
6,-0.7005673971096674,-0.6450418609976768,966
7,-0.7043791274944942,-0.6413456080406904,914
8,-0.7076908524592718,-0.6375853739380837,923
9,-0.7090469743410747,-0.6435018932521344,1023
10,-0.7111287014245987,-0.6483776227608323,1014
11,-0.7127443586349488,-0.6402090080454945,915
12,-0.7146339106241862,-0.6434440282583237,928
13,-0.7156341335296631,-0.6365570980608464,988
14,-0.7168895262479782,-0.6365039444640279,948
15,-0.7226890124877294,-0.6544963864609599,991
16,-0.7249351794799169,-0.6486518871039152,972
17,-0.725701232512792,-0.6523730067014695,1094
18,-0.7259225515206655,-0.6478881742805243,1039
19,-0.7271095058917999,-0.6481051467433572,979
20,-0.7299080141544342,-0.6477415149658918,998
