Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6843923639973004,-0.32373822305342764,1096
2,-0.7171537940184275,-0.32560323832102583,1004
3,-0.7279808642625809,-0.32621466798800974,1002
4,-0.7339694317340851,-0.32198883384082,1007
5,-0.7377627183119456,-0.3347484937134141,1025
6,-0.7405024778445561,-0.3270959025594057,977
7,-0.742577725481987,-0.3360323952862527,977
8,-0.7441495410044988,-0.3258782278173603,988
9,-0.7454561525265376,-0.3214417295156454,1013
10,-0.7467353363275528,-0.33354544537863695,529
11,-0.7479104900201162,-0.3192489641686334,532
12,-0.7519020457665125,-0.3061208917545737,552
13,-0.753060352174441,-0.31114276191944373,545
14,-0.753971784766515,-0.30919603300164455,541
15,-0.7547494334856669,-0.31662223621993324,289
