Epoch,Train Loss,Test Loss,Train Time (s)
1,0.08613156882772843,0.08009249005839228,2439
2,0.07520650223493576,0.062231429809704426,2336
3,0.07316550243000189,0.06455184814333915,1993
4,0.07228388523161411,0.06291981174238026,1909
5,0.07162392526119947,0.06361329218000174,1638
6,0.07135535481820504,0.06328080627322197,1523
7,0.07022286156117916,0.06260334867052735,1364
8,0.06986422411948442,0.05939776326529682,1021
9,0.06968667869319518,0.06254531603865325,995
10,0.06959616097013156,0.06435244891792535,1038
11,0.06925500909239053,0.06489349395409226,1006
12,0.06928563600579897,0.06571861202456057,800
13,0.06876418144802253,0.06364819975756109,800
14,0.06852570654600859,0.06331128846481443,768
15,0.06839062326749167,0.06551965131238104,909
16,0.06825155191024145,0.06210942864604294,874
