Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6231082142968972,-0.6836099002808332,1755
2,-0.6894774385968844,-0.6965755263715983,1610
3,-0.7056830385406812,-0.6971266134232282,1578
4,-0.7140518590927124,-0.7110396933406592,1577
5,-0.7194593781550725,-0.7138391916453838,1581
6,-0.7225024505813916,-0.7212025482952594,1591
7,-0.7254459140340487,-0.7206111050099134,1568
8,-0.7276215222517649,-0.7197874599397183,1400
9,-0.7296772125283877,-0.716256287842989,1322
10,-0.7307706604441007,-0.7272759650945664,1315
11,-0.7313555638233821,-0.727404143512249,1314
12,-0.7322148393392562,-0.7214476526677609,1359
13,-0.732653636988004,-0.7271961637735367,1333
14,-0.7344417619307836,-0.7190476486980915,1231
15,-0.7352056798775991,-0.7245886177718639,1083
16,-0.7401579015612603,-0.724407014682889,1082
17,-0.7425466246008873,-0.7300941789150238,1073
18,-0.7437092889785767,-0.7263689816594124,1059
19,-0.7437247838258744,-0.7268515531122685,1048
20,-0.744824070819219,-0.7202837211638689,1060
