Epoch,Train Loss,Test Loss,Train Time (s)
1,0.07658068696916104,0.056620976947247985,2057
2,0.06999864747047424,0.05573936207592487,1770
3,0.06918093817532063,0.05583682558871806,1704
4,0.06877561190783978,0.05544645871222019,1508
5,0.0686945936536789,0.05635687908157706,1424
6,0.06843592199862003,0.055797807671129705,1480
7,0.06834945795416832,0.055163548970595,1486
8,0.06829090232014656,0.05951336900517344,1417
9,0.06816544197678566,0.0555559175722301,1228
10,0.06800235654473305,0.054779651882126926,1179
11,0.06811105118453503,0.05547843550331891,931
12,0.06796547934055329,0.05630155623145401,893
13,0.06794667949557305,0.056199602233245965,891
14,0.06796416894197464,0.05658457140438258,886
15,0.06747514940202236,0.055719839103519915,894
16,0.06747535180568695,0.05653863767720759,717
17,0.06748686857819557,0.055093717025592924,668
18,0.06729455055236816,0.05553022829629481,660
