Epoch,Train Loss,Test Loss,Train Time (s)
1,-0.6853528797288736,-0.6803775599896907,898
2,-0.7180474145193895,-0.699217106461525,739
3,-0.7283814293980598,-0.7026418134868145,783
4,-0.7346029783884684,-0.7083335525393486,675
5,-0.7380266324480375,-0.7186722576320171,538
6,-0.7402509119590124,-0.7157290624380112,506
7,-0.7432852892875671,-0.718493597343564,602
8,-0.7446533213734626,-0.7205991271138191,631
9,-0.7455325990279515,-0.7253612670898437,733
10,-0.7472646106938521,-0.7229171945154667,699
11,-0.7475800467848778,-0.7191291061639786,609
12,-0.7486757504940033,-0.7262483288645745,510
13,-0.7492010347604752,-0.7276394990086555,553
14,-0.7502765839735667,-0.7209996743053197,694
15,-0.7505012455542882,-0.7258261813819409,691
16,-0.7515638960798582,-0.7180821161270141,692
17,-0.7512620329757531,-0.7248050155639648,646
18,-0.7550228897074859,-0.7234269898086786,549
19,-0.7566045679350694,-0.7273369460105896,524
20,-0.7565404193917911,-0.724502546146512,711
