Epoch,Train Loss,Test Loss,Train Time (s)
1,0.08035443617055814,0.06807095707021654,1801
2,0.0750286781306068,0.06317218806780875,1805
3,0.07316075253287951,0.06116373601742089,1600
4,0.07237543476025264,0.06279322878271341,1298
5,0.07166547172665597,0.06401167937740683,1148
6,0.07123769284983476,0.06246715878508985,1071
7,0.07088274441212415,0.05962256716191769,984
8,0.07060254483421644,0.06093149995803833,712
9,0.07038455802847941,0.06674884533882142,586
10,0.07009113028794527,0.06254616207629442,312
11,0.07000470290184022,0.06274718759767711,419
12,0.06909102727423111,0.06766556233167648,306
13,0.06894885277301073,0.06190610540285706,572
14,0.06879031918247541,0.06363676537945867,416
15,0.06849339543282985,0.06498120018839836,428
