Epoch,Train Loss,Test Loss,Train Time (s)
1,0.07505326990485191,0.05612744106538594,1336
2,0.0704721713423729,0.0551002340670675,1291
3,0.06941314553022385,0.05709579603374004,1209
4,0.06900026667654514,0.0569015108179301,1250
5,0.06870960625946522,0.05689664160460234,1119
6,0.06847086997032166,0.05611429469846189,981
7,0.06791884725391865,0.0553405392691493,990
8,0.06784041308045387,0.05762336823157966,1058
9,0.06783701219201088,0.057745262617245316,780
10,0.06767316861331463,0.056705432876944545,589
