Epoch,Train Loss,Test Loss,Train Time (s)
1,0.017820870503783226,0.036330071526979736,10
2,0.06560057401657104,-0.12496814254053606,11
3,-0.32127702236175537,-0.2511799067556858,11
4,-0.4831826686859131,-0.30623185117542745,10
5,-0.5554343461990356,-0.33598461498320104,9
6,-0.6465158462524414,-0.34272833669139074,10
7,-0.7471715807914734,-0.3594589168947423,10
8,-0.8178420662879944,-0.3908487180919619,9
9,-0.8579739928245544,-0.41359900407237,8
10,-0.888515293598175,-0.4162022255666634,8
11,-0.9119094610214233,-0.4051654159881873,8
12,-0.9233645796775818,-0.40059803696040763,9
13,-0.9343822002410889,-0.40252506008069033,9
14,-0.9451824426651001,-0.40547224451447256,9
15,-0.9532711505889893,-0.4065087641516584,9
