ModelName,Architecture,GRIT,ModelPath,Average_SSIM,Average_LPIPS
effnet_rednet_120_10000_l1.pth,effnet_rednet,120,./effnet_rednet_120_10000_l1.pth,0.085131,0.450394
effnet_rednet_120_10000_l1_greyscale.pth,effnet_rednet,120,./effnet_rednet_120_10000_l1_greyscale.pth,0.284239,0.392181
effnet_rednet_120_20000_l1.pth,effnet_rednet,120,./effnet_rednet_120_20000_l1.pth,0.130769,0.429114
effnet_rednet_120_20000_l1_greyscale.pth,effnet_rednet,120,./effnet_rednet_120_20000_l1_greyscale.pth,0.308501,0.375155
effnet_rednet_120_30000_l1.pth,effnet_rednet,120,./effnet_rednet_120_30000_l1.pth,0.202845,0.351516
effnet_rednet_120_30000_l1_greyscale.pth,effnet_rednet,120,./effnet_rednet_120_30000_l1_greyscale.pth,0.322610,0.365655
effnet_rednet_120_40000_l1.pth,effnet_rednet,120,./effnet_rednet_120_40000_l1.pth,0.263418,0.305247
effnet_rednet_120_40000_l1_greyscale.pth,effnet_rednet,120,./effnet_rednet_120_40000_l1_greyscale.pth,0.327138,0.369143
effnet_rednet_120_50000_l1.pth,effnet_rednet,120,./effnet_rednet_120_50000_l1.pth,0.268026,0.299337
effnet_rednet_120_50000_l1_greyscale.pth,effnet_rednet,120,./effnet_rednet_120_50000_l1_greyscale.pth,0.345220,0.360560
effnet_rednet_120_60000_l1.pth,effnet_rednet,120,./effnet_rednet_120_60000_l1.pth,0.356662,0.222960
effnet_rednet_120_60000_l1_greyscale.pth,effnet_rednet,120,./effnet_rednet_120_60000_l1_greyscale.pth,0.350970,0.356824
effnet_rednet_120_60000_NPCC.pth,effnet_rednet,120,./effnet_rednet_120_60000_NPCC.pth,0.163978,0.664388
effnet_rednet_120_60000_NPCC_greyscale.pth,effnet_rednet,120,./effnet_rednet_120_60000_NPCC_greyscale.pth,0.159685,0.692132
effnet_rednet_1500_10000_l1.pth,effnet_rednet,1500,./effnet_rednet_1500_10000_l1.pth,0.460548,0.187000
effnet_rednet_1500_10000_l1_greyscale.pth,effnet_rednet,1500,./effnet_rednet_1500_10000_l1_greyscale.pth,0.323952,0.334072
effnet_rednet_1500_20000_l1.pth,effnet_rednet,1500,./effnet_rednet_1500_20000_l1.pth,0.476662,0.174140
effnet_rednet_1500_20000_l1_greyscale.pth,effnet_rednet,1500,./effnet_rednet_1500_20000_l1_greyscale.pth,0.302320,0.341755
effnet_rednet_1500_30000_l1.pth,effnet_rednet,1500,./effnet_rednet_1500_30000_l1.pth,0.502414,0.165565
effnet_rednet_1500_30000_l1_greyscale.pth,effnet_rednet,1500,./effnet_rednet_1500_30000_l1_greyscale.pth,0.364428,0.337417
effnet_rednet_1500_40000_l1.pth,effnet_rednet,1500,./effnet_rednet_1500_40000_l1.pth,0.510598,0.161088
effnet_rednet_1500_40000_l1_greyscale.pth,effnet_rednet,1500,./effnet_rednet_1500_40000_l1_greyscale.pth,0.358013,0.337197
effnet_rednet_1500_50000_l1.pth,effnet_rednet,1500,./effnet_rednet_1500_50000_l1.pth,0.513851,0.160201
effnet_rednet_1500_50000_l1_greyscale.pth,effnet_rednet,1500,./effnet_rednet_1500_50000_l1_greyscale.pth,0.364032,0.334949
effnet_rednet_1500_60000_l1.pth,effnet_rednet,1500,./effnet_rednet_1500_60000_l1.pth,0.556426,0.148998
effnet_rednet_1500_60000_l1_greyscale.pth,effnet_rednet,1500,./effnet_rednet_1500_60000_l1_greyscale.pth,0.345054,0.342777
effnet_rednet_1500_60000_NPCC.pth,effnet_rednet,1500,./effnet_rednet_1500_60000_NPCC.pth,0.223762,0.654167
effnet_rednet_1500_60000_NPCC_greyscale.pth,effnet_rednet,1500,./effnet_rednet_1500_60000_NPCC_greyscale.pth,0.283556,0.556026
effnet_rednet_220_10000_l1.pth,effnet_rednet,220,./effnet_rednet_220_10000_l1.pth,0.179176,0.416812
effnet_rednet_220_10000_l1_greyscale.pth,effnet_rednet,220,./effnet_rednet_220_10000_l1_greyscale.pth,0.306838,0.377578
effnet_rednet_220_20000_l1.pth,effnet_rednet,220,./effnet_rednet_220_20000_l1.pth,0.191907,0.385781
effnet_rednet_220_20000_l1_greyscale.pth,effnet_rednet,220,./effnet_rednet_220_20000_l1_greyscale.pth,0.320947,0.360436
effnet_rednet_220_30000_l1.pth,effnet_rednet,220,./effnet_rednet_220_30000_l1.pth,0.193387,0.403204
effnet_rednet_220_30000_l1_greyscale.pth,effnet_rednet,220,./effnet_rednet_220_30000_l1_greyscale.pth,0.338068,0.361963
effnet_rednet_220_40000_l1.pth,effnet_rednet,220,./effnet_rednet_220_40000_l1.pth,0.196789,0.391434
effnet_rednet_220_40000_l1_greyscale.pth,effnet_rednet,220,./effnet_rednet_220_40000_l1_greyscale.pth,0.346580,0.356169
effnet_rednet_220_50000_l1.pth,effnet_rednet,220,./effnet_rednet_220_50000_l1.pth,0.000033,0.740874
effnet_rednet_220_50000_l1_greyscale.pth,effnet_rednet,220,./effnet_rednet_220_50000_l1_greyscale.pth,0.346759,0.347079
effnet_rednet_220_60000_l1.pth,effnet_rednet,220,./effnet_rednet_220_60000_l1.pth,0.265110,0.334448
effnet_rednet_220_60000_l1_greyscale.pth,effnet_rednet,220,./effnet_rednet_220_60000_l1_greyscale.pth,0.355009,0.349539
effnet_rednet_220_60000_NPCC.pth,effnet_rednet,220,./effnet_rednet_220_60000_NPCC.pth,0.118865,0.714440
effnet_rednet_220_60000_NPCC_greyscale.pth,effnet_rednet,220,./effnet_rednet_220_60000_NPCC_greyscale.pth,0.269573,0.561486
effnet_rednet_600_10000_l1.pth,effnet_rednet,600,./effnet_rednet_600_10000_l1.pth,0.048938,0.510616
effnet_rednet_600_10000_l1_greyscale.pth,effnet_rednet,600,./effnet_rednet_600_10000_l1_greyscale.pth,0.065472,0.472100
effnet_rednet_600_20000_l1.pth,effnet_rednet,600,./effnet_rednet_600_20000_l1.pth,0.061205,0.494198
effnet_rednet_600_20000_l1_greyscale.pth,effnet_rednet,600,./effnet_rednet_600_20000_l1_greyscale.pth,0.069750,0.467347
effnet_rednet_600_30000_l1.pth,effnet_rednet,600,./effnet_rednet_600_30000_l1.pth,0.062731,0.484941
effnet_rednet_600_30000_l1_greyscale.pth,effnet_rednet,600,./effnet_rednet_600_30000_l1_greyscale.pth,0.069597,0.466176
effnet_rednet_600_40000_l1.pth,effnet_rednet,600,./effnet_rednet_600_40000_l1.pth,0.065759,0.468234
effnet_rednet_600_40000_l1_greyscale.pth,effnet_rednet,600,./effnet_rednet_600_40000_l1_greyscale.pth,0.069369,0.466106
effnet_rednet_600_50000_l1.pth,effnet_rednet,600,./effnet_rednet_600_50000_l1.pth,0.156854,0.415899
effnet_rednet_600_50000_l1_greyscale.pth,effnet_rednet,600,./effnet_rednet_600_50000_l1_greyscale.pth,0.065915,0.463867
effnet_rednet_600_60000_l1.pth,effnet_rednet,600,./effnet_rednet_600_60000_l1.pth,0.280488,0.315427
effnet_rednet_600_60000_l1_greyscale.pth,effnet_rednet,600,./effnet_rednet_600_60000_l1_greyscale.pth,0.064491,0.466451
effnet_rednet_600_60000_NPCC.pth,effnet_rednet,600,./effnet_rednet_600_60000_NPCC.pth,0.163261,0.680676
effnet_rednet_600_60000_NPCC_greyscale.pth,effnet_rednet,600,./effnet_rednet_600_60000_NPCC_greyscale.pth,0.118855,0.760870
effnet_unet_120_10000_l1.pth,effnet_unet,120,./effnet_unet_120_10000_l1.pth,0.080718,0.464168
effnet_unet_120_10000_l1_greyscale.pth,effnet_unet,120,./effnet_unet_120_10000_l1_greyscale.pth,0.296493,0.390151
effnet_unet_120_20000_l1.pth,effnet_unet,120,./effnet_unet_120_20000_l1.pth,0.144189,0.404701
effnet_unet_120_20000_l1_greyscale.pth,effnet_unet,120,./effnet_unet_120_20000_l1_greyscale.pth,0.282997,0.379763
